,question,entities,MuHeQA_FLERT
4987,What is the nationality of jane rogers?,['Jane Rogers'],['jane rogers']
4988,"what is e. clay shaw, jr. place of death?","['E. Clay Shaw, Jr.']",['e. clay shaw']
4989,what is the name of a midfielder football player,['midfielder'],['midfielder football player']
4990,where was debi gliori born,['Debi Gliori'],['debi gliori']
4991,what is the religion of george marshall?,['George Marshall'],['george marshall']
4992,What is the name of a film written by john carpenter,['John Carpenter'],['john carpenter']
4993,What artist used a drum kit,['drum kit'],"['artist', 'drum kit']"
4994,Who directed the film parinda,['Parinda'],['film parinda']
4995,Where was brian wayne peterson born?,['Brian Wayne Peterson'],['brian wayne peterson']
4996,"who is the artist of the album girls, girls, girls?","['Girls, Girls, Girls']","['girls , girls , girls']"
4997,what label is boyband under ,['Boyband'],['label']
4998,what type of music does ginger baker play,['Ginger Baker'],"['music', 'ginger baker']"
4999,Name someone who was born in durban.,['Durban'],['durban']
5000,what is a drama film?,['drama film'],['drama film']
5001,where was the death place of charlie lea,['Charlie Lea'],['charlie lea']
5002,What is the profession of anna brewster?,['Anna Brewster'],['anna brewster']
5003,where is norman kerry's place of birth?,['Norman Kerry'],['norman kerry']
5004,what is the gameplay mode of the game j-league eleven beat 1997?,['J-League Eleven Beat 1997'],['j-league eleven beat 1997']
5005,whats tilman pesch's profession,['Tilman Pesch'],['tilman pesch']
5006,who is a child of richard wagner,['Richard Wagner'],['richard wagner']
5007,"Who was born in pasadena, california",['Pasadena'],"['pasadena', 'california']"
5008,Who is the former Justice of Supreme Court of Pakistan born in mumbai,['Mumbai'],"['mumbai', 'Supreme Court of Pakistan']"
5009,who created smugglers run,"[""Smuggler's Run""]",['smugglers']
5010,what label is jack frost signed to,['Jack Frost'],['jack frost']
5011,What language is spoken in the movie supercock,['Supercock'],"['language', 'movie supercock']"
5012,what country is john henry kreitler from ,['John Henry Kreitler'],['john henry kreitler']
5013,Who was the European producer for last life in the universe?,['Last Life in the Universe'],['European']
5014,What is an album of alternative metal music?,['alternative metal'],['alternative metal music']
5015,what is  alex grass reason for dying,['Alex Grass'],['alex grass']
5016,what gender is george rideout,['George Rideout'],['george rideout']
5017,what is an example of an ambient music album,['ambient music'],['ambient music album']
5018,What caused the death of lamar mchan?,['Lamar McHan'],['lamar mchan']
5019,which hampton was kyle haynes born in,['Kyle Haynes'],['kyle haynes']
5020,what religion does rainn wilson practice?,['Rainn Wilson'],['rainn wilson']
5021,where was the discovery of (12971) 4054 t-3 made?,['(12971) 4054 T-3'],"['12971', '4054 t-3']"
5022,What record label is jussi sydänmaa a part of,['Jussi Sydänmaa'],['jussi sydänmaa']
5023,410 chloris is classified as what type of celestial body?,['410 Chloris'],"['410 chloris', 'celestial body']"
5024,Which type of music does astudio create,['A-Studio'],"['music', 'astudio']"
5025,who was the producer of the film jay and silent bob strike back,['Jay and Silent Bob Strike Back'],['film jay and silent bob strike']
5026,which instrument does byther smith play,['Byther Smith'],['byther smith']
5027,which label is created by robin pecknold,['Robin Pecknold'],['robin pecknold']
5028,what is a pop music album,['pop music'],['pop music album']
5029,what is the nationality of james reese europe?,['James Reese Europe'],['james reese europe']
5030,What is anu hassan's nationality?,['Anu Hasan'],['anu hassan']
5031,Who is camilo josé cela conde's father,['Camilo José Cela Conde'],['camilo josé cela conde']
5032,what gender is mutsumi sasaki,['Mutsumi Sasaki'],['mutsumi sasaki']
5033,what does laini taylor do for a living,['Laini Taylor'],['laini taylor']
5034,what genre on netflix is my life without me,['My Life Without Me'],['netflix']
5035,where in virginia did junius edgar west buy the farm,['Junius Edgar West'],"['virginia', 'junius edgar west']"
5036,which artist is signed with metal blade records?,['Metal Blade Records'],"['artist', 'metal blade records']"
5037,what was the music in the film revolution,['Revolution'],['film revolution']
5038,where did mary meigs take her last breath,['Mary Meigs'],['mary meigs']
5039,"who was born in bath, somerset?",['Bath'],"['somerset', 'bath']"
5040,what films has shyam prasad reddy produced,['Shyam Prasad Reddy'],['shyam prasad reddy']
5041,where did hans schjellerup's mother give birth,['Hans Schjellerup'],['hans schjellerup']
5042,what player mode is lcd games from the legend of zelda series played in?,['LCD games from The Legend of Zelda series'],"['player mode', 'zelda series']"
5043,what country released the film rachel and the stranger,['Rachel and the Stranger'],['rachel and the stranger']
5044,What language was i hate valentines day filmed in>,"[""I Hate Valentine's Day""]",['valentines day']
5045,Name a gameplay mode in the game socom: u.s. navy seals tactical strike,['SOCOM: U.S. Navy SEALs Tactical Strike'],['u.s. navy seals tactical strike']
5046,which city did rudolf fernau die,['Rudolf Fernau'],['rudolf fernau']
5047,who wrote the story for the sea hawk,['The Sea Hawk'],['sea hawk']
5048,What is the gender of scot mcfadyen?,['Scot McFadyen'],['scot mcfadyen']
5049,Which country filmed lukes speedy club life,"[""Luke's Speedy Club Life""]","['country', 'lukes speedy club life']"
5050,which war was joachim schlichting involved in?,['Joachim Schlichting'],['joachim schlichting']
5051,Who is the father of the biblical figure miriam?,['Miriam'],['biblical figure miriam']
5052,which artist recorded the crawling distance ,['The Crawling Distance'],"['artist', 'crawling distance']"
5053,where was peter brabrook born ,['Peter Brabrook'],['peter brabrook']
5054,to what nation does john j. kavelaars belong,['John J. Kavelaars'],['john j. kavelaars']
5055,what county is ham lake found in,['Ham Lake'],['ham lake']
5056,which city uses mountain time zone,['Mountain Time Zone'],"['city', 'mountain time zone']"
5057,What is the name of a soccer midfielder?,['midfielder'],['soccer midfielder']
5058,which position did ike van zandt play in baseball,['Ike Van Zandt'],['ike van zandt']
5059,who is the parent of salman khan,['Salman Khan'],['salman khan']
5060,What filmmaker directed the movie soul mates?,['Soul Mates'],"['filmmaker', 'movie soul mates']"
5061,what sex is rob pike,['Rob Pike'],"['sex', 'rob pike']"
5062,Which ruler was born in beijing?,['Beijing'],['beijing']
5063,what genre film is anthuleni katha?,['Anthuleni Katha'],['anthuleni katha']
5064,Who produced double wedding,['Double Wedding'],['double wedding']
5065,what position does football player marco borriello play,['Marco Borriello'],['football player marco borriello']
5066,Who is someone that was born in minsk,['Minsk'],['minsk']
5067,where in space is 4741 leskov located ,['4741 Leskov'],"['space', '4741 leskov']"
5068,what river does the llano river flow from,['Llano River'],['llano river']
5069,what nationality is tom courtenay from,['Tom Courtenay'],['tom courtenay']
5070,what gender is magdalene hoff,['Magdalene Hoff'],['magdalene hoff']
5071,is peter sheridan a male or female ,['Peter Sheridan'],['peter sheridan']
5072,What is the gender of betsy eby,['Betsy Eby'],['betsy eby']
5073,What is the name of an indie rock album,['indie rock'],['indie rock album']
5074,who is the artist for wrong way up,['Wrong Way Up'],['wrong way']
5075,what albums did ella fitzgerald record,['Ella Fitzgerald'],['ella fitzgerald record']
5076,Name an artist signed to sanctuary records.,['Sanctuary Records'],"['artist', 'sanctuary records']"
5077,Where was uri regev born in?,['Uri Regev'],['uri regev']
5078,What is the country of origin of derrick?,['Derrick'],['derrick']
5079,what team plays at the docklands stadium,['Docklands Stadium'],['docklands stadium']
5080,Which country does ermano fegatilli have nationality in,['Ermano Fegatilli'],['ermano fegatilli']
5081,where is john b. mansbridge's country of nationality,['John B. Mansbridge'],['john b. mansbridge']
5082,what is a single-player created by Ubisoft Casablanca,['single-player video game'],['Ubisoft Casablanca']
5083,Who was a person involved in battle of gallipoli?,['Gallipoli campaign'],['gallipoli']
5084,what is 8096 emilezola ,['8096 Emilezola'],['8096 emilezola']
5085,where was dan bigras born ,['Dan Bigras'],['dan bigras']
5086,What is the name of an episode written by trey parker,['Trey Parker'],['trey parker']
5087,What is stevie wonder's gender?,['Stevie Wonder'],['stevie wonder']
5088,which genre on netflix is the movie three amigos under,['Three Amigos'],['three amigos under']
5089,what country is noi tre from?,['Noi tre'],['country']
5090,What position does Francesco Carratta play?,['Francesco Carratta'],['Francesco Carratta']
5091,who was the writer of the film shakes the clown,['Shakes the Clown'],"['film', 'clown']"
5092,who was a person born in ljubljana,['Ljubljana'],['ljubljana']
5093,who recorded hey... bo diddley: in concert,['Hey... Bo Diddley: In Concert'],['hey ... bo diddley']
5094,what label is steve lambke signed with,['Steve Lambke'],['steve lambke']
5095,what movie did jacques tati direct?,['Jacques Tati'],['jacques tati']
5096,what is the country of origin of deka kurokawa suzuki,['Deka Kurokawa Suzuki'],['deka kurokawa suzuki']
5097,Who was the developer behind demons winter?,"[""Demon's Winter""]",['demons winter']
5098,what language is nickys game in,"[""Nicky's Game""]",['nickys']
5099,Who was born in havant,['Havant'],['havant']
5100,what is the gender of rudy minarcin?,['Rudy Minarcin'],['rudy minarcin']
5101,what type of music does végastar make?,['Vegastar'],['végastar']
5102,Name a person who was born in frankfurt,['Frankfurt am Main'],['frankfurt']
5103,how did joel hirschhorn die?,['Joel Hirschhorn'],['joel hirschhorn']
5104,what is the nationality of tomasz szczypiński?,['Tomasz Szczypiński'],['tomasz szczypiński']
5105,what football position does stefan rieß play?,['Stefan Rieß'],['stefan rieß']
5106,what is matt taylor (american soccer)'s gender,['Matt Taylor'],"['american soccer', 'matt taylor']"
5107,Which country does dick brennan have nationality in,['Dick Brennan'],['dick brennan']
5108,What production company worked on strange triangle,['Strange Triangle'],"['production company', 'strange triangle']"
5109,who is the child of l. l. zamenhof,['L. L. Zamenhof'],['l. l. zamenhof']
5110,Who wrote the work a lie of the mind?,['A Lie of the Mind'],"['work', 'mind']"
5111,What position does roger vonlanthen play,['Roger Vonlanthen'],['roger vonlanthen']
5112,what is the title for a 1929 silent film ,['silent film'],['1929 silent film']
5113,Where in illinois was timothy davlin born,['Timothy Davlin'],"['illinois', 'timothy davlin']"
5114,name a person born in middlesbrough.,['Middlesbrough'],['middlesbrough']
5115,What language is in the film wishology,['Wishology'],"['language', 'film wishology']"
5116,What is a town in montgomery county,['Montgomery County'],['montgomery county']
5117,What baseball position did shinya tsuruoka play,['Shinya Tsuruoka'],['shinya tsuruoka']
5118,What is francis veber's profession?,['Francis Veber'],['francis veber']
5119,who was the writer of d-war,['D-War'],['d-war']
5120,what was didier diderot's place of birth?,['Didier Diderot'],['didier diderot']
5121,Who plays forward in football?,['forward'],['football']
5122,What position does willis reed play?,['Willis Reed'],['willis reed']
5123,who was the developer of the game transbot?,['-'],['game transbot']
5124,where was harry darby born,['Harry Darby'],['harry darby']
5125,how did gabriel prosser die,['Gabriel'],['gabriel prosser']
5126,Who is the group that released dreams?,['Dreams'],"['group', 'dreams']"
5127,what position does Óscar javier morales play in soccer?,['Óscar Javier Morales'],['Óscar javier morales']
5128,where in italy was simonetta stefanelli's birth place?,['Simonetta Stefanelli'],"['italy', 'simonetta stefanelli']"
5129,Where was taggart filmed,['Taggart'],['taggart']
