"Question";"First 3 Words";"Last 3 Words"
"Who is the office holder with deputies as Neil Brown and Andrew Peacock?";"Who is the";" and Andrew Peacock?"
"How many mountain ranges are located in the Canton of Fribourg?";"How many mountain";" Canton of Fribourg?"
"Who was the vice president under which elizabeth alexander served?";"Who was the";" elizabeth alexander served?"
"What is the common citizenship between JSM Hopoer and Robert Valentine ?";"What is the";" Robert Valentine ?"
"What political ideology of the Palang Dharma Party is relegion of Inthakin?";"What political ideology";" relegion of Inthakin?"
"How many things belong to a division of plant kingdom?";"How many things";" of plant kingdom?"
"Who coached the marquet golden eagels during 2013";"Who coached the";" eagels during 2013"
"What company made the front row and distributed big top ballet?";"What company made";" big top ballet?"
"Name the TV show broadcasted by Fox and presented by Ryan Seacrest ?";"Name the TV";" Ryan Seacrest ?"
"Who maintains the stuff designed by the Brunei government?";"Who maintains the";" the Brunei government?"
"Name a movie with actor as Momoko Kochi and music by Akira Ifukube?";"Name a movie";" by Akira Ifukube?"
"Where is the football team located in which Josh Bell did his debut?";"Where is the";" did his debut?"
"Is George Lucas the cinematographer of 6-18-67?";"Is George Lucas";" cinematographer of 6-18-67?"
"Whose academic advisor works at the St George's Hospital?";"Whose academic advisor";" St George's Hospital?"
"What is the area of the broadcast network which has the affiliation with 9TV?";"What is the";" affiliation with 9TV?"
"Which television shows have been produced by Erik Bork?";"Which television shows";" by Erik Bork?"
"How many people are in the England national football team?";"How many people";" national football team?"
"Name the Artist of Madagascar: Operation Penguin ?";"Name the Artist";" Operation Penguin ?"
"Was Krzystof Wielicki the first person that ascended the mt everest?";"Was Krzystof Wielicki";" the mt everest?"
"By whom is the broadcaster network Bounce TV founded?";"By whom is";" Bounce TV founded?"
"Is greasy pop records distributed by festival records?";"Is greasy pop";" by festival records?"
"Name the borough of the Bordesley railway station which is also the route end of the Birmingham and Oxford Junction Railway?";"Name the borough";" Oxford Junction Railway?"
"Who holds stock in the railway lines ending in Washington DC?";"Who holds stock";" in Washington DC?"
"Does fox belong to the phylum of Chordate?";"Does fox belong";" phylum of Chordate?"
"What things canonized John of Damascus and and also venerated the Edwin of Northumbria ?";"What things canonized";" of Northumbria ?"
"Which company manufactured Delta III?";"Which company manufactured";" manufactured Delta III?"
"What are some common games played in PATTS college of aeronautics and Jamiatu muslim mindanao?";"What are some";" Jamiatu muslim mindanao?"
"Who influenced the author of The Shooting of Dan McGrew?";"Who influenced the";" of Dan McGrew?"
"Name the company whose products's predecessor is Boeing Vertol CH-46 Sea Knight?";"Name the company";" CH-46 Sea Knight?"
"Name the television show whose voice is given by April Stewart and theme music composer is Primus (band)?";"Name the television";" is Primus (band)?"
"Where is the school which is the rival of Somerset Berkley Regional High?";"Where is the";" Berkley Regional High?"
"What is the operating system of the LG Optimus Vu and also the developer of the Dart (programming language)";"What is the";" Dart (programming language)"
"Who studied in universities located in suburbs?";"Who studied in";" located in suburbs?"
"Name some basketball players whose team is coached by Fred Hoiberg?";"Name some basketball";" by Fred Hoiberg?"
"To which religion does the commander of South Thailand insurgency belong?";"To which religion";" Thailand insurgency belong?"
"Name a river with source country as Zambia and source location as Ikelenge District?";"Name a river";" as Ikelenge District?"
"Producers of what have died in Mississippi?";"Producers of what";" died in Mississippi?"
"Who are the producers of Marie Sisters?";"Who are the";" of Marie Sisters?"
"Who  won the Lovelace Medal and the Norbert Wiener Award for Social and Professional Responsibility?";"Who  won";" and Professional Responsibility?"
"Which company of Ford Theatre is the owning organization of Ford Kansa City Assemply Plant?";"Which company of";" City Assemply Plant?"
"How many companies are located in Toronto?";"How many companies";" located in Toronto?"
"Name the tenants of MasterCard center wich is also the draft team of Antoine Bibeau?";"Name the tenants";" of Antoine Bibeau?"
"Which leader of United States House of Representatives was the appointer of John Drayton?";"Which leader of";" of John Drayton?"
"Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft?";"Give me the";" is McDonnell Aircraft?"
"What awards have been given to the anyone who raced in the Lawrence Realization Stakes?";"What awards have";" Lawrence Realization Stakes?"
"What is the common region of the broadcast area of ITV and nationality of Ajahn Thate?";"What is the";" of Ajahn Thate?"
"Is Nikolai Morozov the former coach of Stanislav Morozov?";"Is Nikolai Morozov";" of Stanislav Morozov?"
"Which non fiction of the Thud is also the field of the Jon Speelman?";"Which non fiction";" the Jon Speelman?"
"Who was on the boards of Freedom of the City and Royal Society?";"Who was on";" and Royal Society?"
"Who all have been a manager of England under-21 football team?";"Who all have";" under-21 football team?"
"What is the birth name of Putri Raemawasti ?";"What is the";" Putri Raemawasti ?"
"In which country did Philippe tesnire and judson huss die?";"In which country";" judson huss die?"
"Whose artworks are in Sao Paulo Museum of Art?";"Whose artworks are";" Museum of Art?"
"Name the stock holders of soccer club whose one of the stockholder is Carl Sanders ?";"Name the stock";" Carl Sanders ?"
"Which share holder of outlook is also the content license of the MSX Basics?";"Which share holder";" the MSX Basics?"
"Name the television show whose network is TNT (TV channel) and Prime Time Entertainment Network?";"Name the television";" Time Entertainment Network?"
"Who develops the Lao Plaza Hotel?";"Who develops the";" Lao Plaza Hotel?"
"Name the river with source as Shannon Pot and its mouth is located in Limerick?";"Name the river";" located in Limerick?"
"Count the number of characters of the play whose one of the character is Catwoman ?";"Count the number";" is Catwoman ?"
"Where is the tombstone of Johannes Gerhardus Strijdom?";"Where is the";" Johannes Gerhardus Strijdom?"
"In which state is the Channel district?";"In which state";" the Channel district?"
"List the border of the admin region which shares border with North Korea ?";"List the border";" North Korea ?"
"Name the movie which has music composed by Elliot Goldenthal and screenplay by Akiva Goldsman ?";"Name the movie";" Akiva Goldsman ?"
"Who is the writer of He's a Pirate ?";"Who is the";" a Pirate ?"
"Who is the film star of On Air with Ryan Seacrest?";"Who is the";" with Ryan Seacrest?"
"List the show related to the which was followed by Doctor Who Extra?";"List the show";" Doctor Who Extra?"
"Name a writer who was educated in Saint Petersburg and had a son named Lyubov Dostoyevskaya ?";"Name a writer";" Lyubov Dostoyevskaya ?"
"Whose famous works have been illustrated by E W Kemble?";"Whose famous works";" E W Kemble?"
"Which kind of conventions are held in Rosemont, Illinois?";"Which kind of";" in Rosemont, Illinois?"
"What is the draft team of Antoine Bibeau ?";"What is the";" Antoine Bibeau ?"
"Which saints were the messengers of Islam?";"Which saints were";" messengers of Islam?"
"List the uni. having affiliation with Graham Holding Company and have a campus in Iowa ?";"List the uni.";" in Iowa ?"
"Where does the Jerusalem Institute of Justice render their services?";"Where does the";" render their services?"
"Who is the fictional character who portrayed in Terminator 2: Judgment Day?";"Who is the";" 2: Judgment Day?"
"What is the rank of Julius C. Burrows politically?";"What is the";" C. Burrows politically?"
"Who is the producer of the single which was the subsequent work of He's a Liar?";"Who is the";" He's a Liar?"
"What cars were built upon the cars which were assembled in Canada?";"What cars were";" assembled in Canada?"
"List the sports of PATTS College of Aeronautics which are of interest of Jon Speelman ?";"List the sports";" Jon Speelman ?"
"What is the region of the ethnic group which speaks the language of Arkansas?";"What is the";" language of Arkansas?"
"List the territory of Tonkin Campaign ?";"List the territory";" Tonkin Campaign ?"
"What is the company of Ford Theatre?";"What is the";" of Ford Theatre?"
"Name the university with mascot as Aubie and president as jay Gogue ?";"Name the university";" jay Gogue ?"
"Who wrote the mangas produced by Masahike Minami?";"Who wrote the";" by Masahike Minami?"
"In how many places has Don R. Berlin worked?";"In how many";" R. Berlin worked?"
"Which nearest city of LoDaisKa Site is also the location of Oskar Blues Brewery ?";"Which nearest city";" Blues Brewery ?"
"How many shows are made by the channel whose predecessor was the Comedy Channel?";"How many shows";" the Comedy Channel?"
